ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_fire_hydrant_1, 125.4922, -46.83684, 66.57446, 0, 0, 0.779697, -0.626157, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 105.4106, -102.6404, 58.6551, 0.040556, -0.09883802, 0.7741601, -0.6239091, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 92.81113, -155.6483, 54.003, 0, 0, 0.971437, 0.237298, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 167.7109, -182.9447, 53.23898, 0, 0, 0.971437, 0.237298, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 196.7568, -224.1673, 52.9744, 0.004749001, 0.010402, -0.1722311, 0.9849902, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 96.0249, -188.0514, 53.81358, 0, 0, -0.195192, 0.980765, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 56.23505, -192.1989, 53.53887, 0, 0, 0.626309, 0.7795749, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 13.21698, -156.9793, 55.03154, -0.008993998, -0.010448, -0.108484, 0.9940026, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, -34.97443, -138.4088, 56.1371, -0.008993998, -0.010448, -0.108484, 0.9940026, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, -70.80383, -139.6436, 56.53334, 0.01608401, -0.03710201, 0.7800083, -0.6244612, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, -86.11261, -213.9599, 44.00968, 0, 0, 0.806264, -0.5915561, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, -99.8017, -133.3146, 56.24175, 0, 0, 0.5917164, 0.8061463, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 168.1618, -160.3755, 54.12895, 0.01551, -0.035153, 0.804795, -0.592308, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 185.2695, -39.32748, 67.35928, -0.011192, 0.008049004, 0.9807655, 0.1947031, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 37.43573, -134.8793, 54.53705, 0.012327, -0.005614001, 0.9812682, 0.19217, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 11.42572, -106.4299, 56.1054, 0, 0, 0.831296, -0.55583, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 24.08984, -70.08852, 60.87675, 0.04346801, -0.06626202, 0.8274213, -0.5559622, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, -63.60541, -88.41844, 56.76466, 0, 0, 0.831296, -0.55583, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_0.ymap
prop_fire_hydrant_1, 279.778, -58.26746, 69.11328, -0.006557001, 0.002630001, 0.5585481, 0.8294421, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 295.0391, -69.96536, 69.00476, 0, 0, 0.831296, -0.55583, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 303.0326, -108.9747, 68.31554, 0, 0, -0.4421248, 0.8969535, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 247.691, -202.0237, 53.17601, 0.029594, -0.021713, 0.8057209, -0.591157, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 267.0354, -91.60201, 68.94396, -0.012802, -0.005114, 0.362754, 0.931783, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 213.8203, -68.75641, 68.15388, 0, 0, -0.1951911, 0.9807652, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 380.2992, -147.6008, 63.45103, 0, 0, 0.5192278, 0.8546359, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 390.3123, -92.98944, 66.20013, 0, 0, 0.8067082, 0.5909501, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
prop_fire_hydrant_1, 434.1449, -41.89132, 75.71561, -0.07601695, -0.02393798, 0.6159437, 0.7837486, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hei_hw1_rd_strm_1.ymap
