ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_fire_hydrant_4, -737.8989, -791.5118, 23.15706, -0.04172401, 0, 0, 0.9991292, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\hei_kt1_rd_strm_1.ymap
prop_fire_hydrant_4, -762.5945, -1436.209, 4.027195, 0, 0, 0.945529, -0.325538, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_38_strm_3.ymap
prop_fire_hydrant_4, -762.8085, -1436.462, 4.027195, 0, 0, 0.3378242, 0.9412093, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_38_strm_3.ymap
prop_fire_hydrant_4, -707.3607, -1463.001, 3.977661, 0, 0, 0.9412094, -0.3378241, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_38_strm_3.ymap
prop_fire_hydrant_4, -707.5747, -1463.255, 3.977661, 0, 0, 0.325538, 0.9455289, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_38_strm_3.ymap
prop_fire_hydrant_4, -1063.486, -1349.25, 3.998505, 0, 0, 0.7735677, 0.6337138, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_rd_strm_3.ymap
prop_fire_hydrant_4, -979.7393, -1255.853, 4.403336, 0, 0, 0.9680489, 0.250762, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_rd_strm_4.ymap
prop_fire_hydrant_4, -926.1752, -1225.079, 3.959259, 0, 0, 0.9680489, 0.250762, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_rd_strm_4.ymap
prop_fire_hydrant_4, -877.9532, -1197.295, 3.628395, 0, 0, 0.9826143, 0.1856591, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\venice_01\venice_metadata.rpf\hei_vb_rd_strm_4.ymap
prop_fire_hydrant_4, -390.5803, 1162.594, 324.7368, 0, 0, 0.8191523, 0.5735762, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_02_strm_3.ymap
prop_fire_hydrant_4, 377.2031, 445.4281, 143.8135, 0, 0, 0.09637997, 0.9953446, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_04_strm_0.ymap
prop_fire_hydrant_4, 656.2688, 230.5761, 95.71864, 0, 0, 0.1736479, 0.9848078, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_04_strm_1.ymap
